NUTS_ID,NAME_LATN,NUTS_NAME,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EE0,Eesti,Eesti,7,11,0,3,31,19,21,7,7,6,0,14,23,11,11,12,9,24,6,0,12,33,15,4,4,13,11,0,8,26,13,22,8,11,5,17,0,6,5,0,7
DE7,Hessen,Hessen,16,12,7,0,45,21,25,8,0,0,15,3,15,8,7,24,22,14,6,3,5,12,11,4,3,3,3,0,7,27,0,22,8,0,5,11,7,4,5,0,8
PL2,Makroregion południowy,Makroregion południowy,8,7,8,5,37,17,18,13,3,0,18,4,20,9,12,16,9,15,3,0,7,13,15,3,6,9,7,0,12,23,4,24,4,0,5,10,5,9,3,0,3
MT0,Malta,Malta,17,0,4,0,4,7,0,7,9,5,19,0,7,0,9,5,0,11,9,6,3,7,3,3,6,10,3,0,6,3,3,6,0,2,1,0,7,0,3,0,0
FI1,Manner-Suomi,Manner-Suomi,19,19,21,6,45,26,28,19,10,12,4,28,14,16,14,9,9,28,25,6,21,42,14,12,5,14,10,3,13,27,15,16,3,7,5,17,0,3,10,0,6
DE6,Hamburg,Hamburg,15,12,3,0,26,10,11,3,0,0,0,0,15,12,7,14,7,11,0,0,0,17,11,0,3,0,0,0,0,33,3,15,0,6,4,7,0,4,0,0,0
LU0,Luxembourg,Luxembourg,10,9,6,0,34,20,12,6,0,0,10,6,9,4,4,18,16,7,3,0,5,8,6,0,7,0,3,3,5,22,0,15,9,0,8,5,8,3,3,0,0
RO1,Macroregiunea Unu,Macroregiunea Unu,16,17,17,11,38,15,11,17,22,6,20,9,25,9,19,11,9,15,9,7,21,12,15,14,19,11,7,3,13,13,12,15,9,5,7,14,16,11,6,0,7
EL6,Kentriki Elláda,Κεντρική Ελλάδα,21,6,10,3,15,8,14,12,18,11,28,15,12,9,16,12,9,4,5,6,21,11,13,10,17,22,3,3,9,5,14,11,6,2,9,6,8,0,7,0,9
EL5,Voreia Elláda,Βόρεια Ελλάδα,27,3,16,3,19,11,13,21,13,12,25,14,18,7,21,9,10,12,7,9,23,11,18,11,15,18,3,6,4,14,11,17,9,6,7,6,11,6,10,0,9
DEE,Sachsen-Anhalt,Sachsen-Anhalt,13,13,7,3,36,21,21,7,0,0,12,0,17,17,7,29,8,21,3,0,3,18,18,0,3,3,3,0,7,30,6,20,8,6,5,10,3,4,3,0,8
FI2,Åland,Åland,6,18,0,4,43,22,27,13,7,0,0,8,0,16,9,10,5,11,10,0,7,29,11,0,0,4,0,0,3,33,3,11,0,4,3,6,0,0,4,0,0
DK0,Danmark,Danmark,24,14,3,5,41,23,15,9,0,0,3,11,13,9,10,18,9,23,0,0,4,20,13,0,3,0,4,3,8,62,6,23,13,7,0,12,0,7,5,0,9
PL8,Makroregion wschodni,Makroregion wschodni,7,4,11,12,37,19,20,12,7,0,20,4,25,14,14,15,15,26,9,0,10,15,16,0,6,9,5,0,13,23,12,27,4,17,6,4,8,8,4,0,8
RO4,Macroregiunea Patru,Macroregiunea Patru,16,9,16,9,38,12,7,19,17,5,21,7,26,7,18,16,9,16,7,6,19,12,25,10,16,11,5,6,16,19,11,22,8,5,7,17,16,9,4,0,7
ITG,Isole,Isole,22,2,7,7,13,9,3,13,12,5,13,3,13,0,15,9,3,13,14,6,8,8,4,3,22,13,11,3,18,11,7,16,11,3,2,8,13,3,9,5,0
BG3,Severna i Yugoiztochna Bulgaria,Северна и Югоизточна България,11,6,15,7,27,10,9,17,11,8,21,5,26,7,19,16,10,13,8,3,19,14,20,7,14,9,0,6,10,18,10,24,11,11,4,9,17,11,0,0,3
ES2,Noreste,Noreste,7,7,11,8,26,15,15,8,0,11,14,6,11,8,3,10,8,7,13,10,15,0,14,3,23,8,7,11,12,18,6,16,14,3,12,3,10,11,9,9,8
FRK,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,14,7,9,3,30,12,16,6,6,7,14,7,14,7,8,12,10,11,14,0,10,4,16,6,19,7,12,6,10,20,4,25,16,3,10,7,12,7,5,5,3
UKE,Yorkshire and the Humber,Yorkshire and the Humber,26,10,3,8,25,19,18,6,0,0,12,21,10,0,8,9,3,3,0,7,7,4,4,0,0,0,3,5,6,30,0,17,11,0,6,4,3,7,7,0,4
NL3,West-Nederland,West-Nederland,20,7,3,3,32,20,15,4,0,0,11,11,21,7,10,31,16,15,3,0,8,12,11,0,3,0,0,6,3,21,3,16,15,0,5,7,0,4,0,0,7
ES1,Noroeste,Noroeste,0,0,11,5,22,9,13,3,0,6,10,10,9,4,3,13,7,5,3,11,8,0,9,3,8,6,4,11,12,19,3,10,3,0,8,3,3,9,3,4,9
IE0,Ireland,Ireland,20,8,4,17,24,16,21,11,4,7,5,11,12,6,12,10,5,4,3,11,6,3,7,3,3,0,4,10,7,47,8,7,6,0,7,4,4,9,5,0,8
UKM,Scotland,Scotland,28,13,3,17,27,19,19,6,5,0,11,17,11,8,16,11,6,13,3,4,15,6,6,7,3,3,3,9,14,42,6,10,8,0,8,6,4,7,12,0,12
UKF,East Midlands (England),East Midlands (England),23,7,3,8,26,17,14,4,0,0,13,13,12,3,6,9,6,0,3,7,7,4,4,3,3,3,0,5,6,33,0,11,10,0,7,4,3,7,0,0,4
PL7,Makroregion centralny,Makroregion centralny,6,3,8,6,39,23,20,10,3,0,13,5,25,9,7,14,8,20,3,0,6,18,13,0,5,12,4,0,11,27,7,26,6,4,5,4,5,5,3,0,4
DEF,Schleswig-Holstein,Schleswig-Holstein,20,13,3,3,31,14,11,6,0,0,3,6,20,15,7,19,8,20,3,0,6,17,12,0,3,0,3,0,6,41,6,16,7,6,4,11,0,6,3,0,3
DE9,Niedersachsen,Niedersachsen,20,13,7,4,36,21,21,6,0,0,9,3,18,16,11,33,19,20,3,0,7,17,20,0,3,3,4,0,6,40,4,19,11,6,4,13,4,4,3,0,8
FRE,Hauts-de-France,Hauts-de-France,13,7,8,0,31,20,19,6,0,0,13,14,21,6,11,19,10,13,0,3,10,3,12,0,7,0,5,11,7,16,3,16,13,0,4,4,6,6,3,0,7
RS1,Serbia - sever,Србија - север,9,13,15,8,39,5,14,16,12,5,19,0,23,6,15,9,7,10,9,5,9,9,24,0,12,6,0,5,16,11,7,21,7,5,1,5,12,7,0,0,3
